,cluster.init
7x15,0
7x16,0
7x17,1
7x18,2
8x13,0
8x14,0
8x15,0
8x16,0
8x17,3
8x18,1
8x19,2
9x13,1
9x14,0
9x15,0
9x16,0
9x17,3
9x18,1
10x13,1
10x15,0
10x16,1
10x17,1
10x18,1
11x12,1
11x13,0
11x14,2
11x15,2
11x16,0
11x17,1
12x12,0
12x13,2
12x14,2
12x15,2
12x16,0
12x17,1
13x11,0
13x12,2
13x13,2
13x14,2
13x15,2
13x16,0
13x17,1
13x18,1
14x7,2
14x8,2
14x9,1
14x10,2
14x11,2
14x12,2
14x13,2
14x14,2
14x15,2
14x16,0
14x17,1
14x18,1
15x5,0
15x6,0
15x7,0
15x8,0
15x9,2
15x10,2
15x11,2
15x12,2
15x13,2
15x14,2
15x15,2
15x16,2
15x17,1
15x18,2
16x3,1
16x4,0
16x5,2
16x6,2
16x7,2
16x8,0
16x9,2
16x10,2
16x11,2
16x12,2
16x13,2
16x14,2
16x15,2
16x16,0
16x17,1
16x18,1
16x19,1
17x4,0
17x5,0
17x6,2
17x7,2
17x8,2
17x9,2
17x10,2
17x11,2
17x12,2
17x13,2
17x14,2
17x15,2
17x16,1
17x17,1
17x18,1
17x19,1
17x20,1
17x21,1
18x4,3
18x5,0
18x6,2
18x7,2
18x8,2
18x9,2
18x10,2
18x11,2
18x12,2
18x13,2
18x14,2
18x15,0
18x16,0
18x17,1
18x18,1
18x19,1
18x20,1
18x21,1
18x22,1
18x23,1
18x24,1
19x4,3
19x5,3
19x6,2
19x7,2
19x8,2
19x9,2
19x10,2
19x11,2
19x12,2
19x13,2
19x14,2
19x15,0
19x16,1
19x17,1
19x18,1
19x19,1
19x20,1
19x21,3
19x22,1
19x23,1
19x24,1
19x25,1
19x26,1
19x27,1
19x28,1
20x5,3
20x6,2
20x7,2
20x8,2
20x9,2
20x10,2
20x11,2
20x12,2
20x13,0
20x14,2
20x15,0
20x16,1
20x17,1
20x18,1
20x19,1
20x20,1
20x21,1
20x22,1
20x23,1
20x24,1
20x25,1
20x26,1
20x27,1
20x28,1
21x6,2
21x7,2
21x8,2
21x9,2
21x10,2
21x11,2
21x12,2
21x13,2
21x14,0
21x15,0
21x16,1
21x17,1
21x18,1
21x19,1
21x20,1
21x21,1
21x22,3
21x23,3
21x24,1
21x25,1
21x26,1
21x27,1
21x28,1
22x6,2
22x7,2
22x8,2
22x9,2
22x10,2
22x11,2
22x12,2
22x13,0
22x14,1
22x15,1
22x16,1
22x17,1
22x18,1
22x19,1
22x20,1
22x21,1
22x22,3
22x23,3
22x24,1
22x25,3
22x26,3
22x27,3
23x7,2
23x8,2
23x9,2
23x10,2
23x11,2
23x12,0
23x13,1
23x14,1
23x15,1
23x16,1
23x17,1
23x18,1
23x19,1
23x20,1
23x21,3
23x22,3
23x23,3
23x24,3
23x25,3
23x26,3
24x8,0
24x9,2
24x10,2
24x11,2
24x12,0
24x13,1
24x14,1
24x15,1
24x16,1
24x17,1
24x18,1
24x19,1
24x20,1
24x21,3
24x22,3
24x23,3
24x24,3
24x25,3
25x9,3
25x10,3
25x11,0
25x12,1
25x13,1
25x14,1
25x15,1
25x16,1
25x17,1
25x18,1
25x19,1
25x20,1
25x21,3
25x22,3
25x23,3
25x24,3
26x11,3
26x12,1
26x13,1
26x14,1
26x15,1
26x16,1
26x17,1
26x18,1
26x19,1
26x20,1
26x21,3
26x22,3
26x23,3
27x14,3
27x15,1
27x17,1
27x18,1
27x19,1
27x20,1
27x21,1
27x22,3
